"MOD_NAME","ITM_NAME","CODE","DECODE","MAPPING_NOTES"
"AE","AEOUTCOM","1","Recovered",""
"AE","AEOUTCOM","2","Under treatment / observation",""
"AE","AEOUTCOM","3","Change in AE characteristic",""
"AE","AEOUTCOM","4","Sequelae",""
"AE","AEOUTCOM","5","Fatal",""
"AE","AEOUTCOM","6","Unknown",""
"AE","AERELAT","1","Unrelated",""
"AE","AERELAT","2","Unlikely",""
"AE","AERELAT","3","Possible",""
"AE","AERELAT","4","Probable",""
"AE","AERELAT","5","Definite",""
"AE","AERELPRO","1","Dopamine Imaging (PPMI Clinical)","Set as 1 when RELDSCAN = 1:Yes (for records collected in prior EDC)"
"AE","AERELPRO","10","DPA-714 PET (DPA-714 PET Imaging)",""
"AE","AERELPRO","11","C05-05 PET (C05-05 PET Imaging)",""
"AE","AERELPRO","12","PI-2620 PET (PI-2620 Tau Imaging)",""
"AE","AERELPRO","2","Lumbar Puncture (PPMI Clinical)","Set as 2 when RELLP = 1:Yes (for records collected in prior EDC)"
"AE","AERELPRO","3","Skin Biopsy (PPMI Clinical)","Set as 3 when RELSKBIO = 1:Yes (for records collected in prior EDC)"
"AE","AERELPRO","4","AV-133 PET (Early Imaging)","Set as 4 when RELAV133 = 1:Yes (for records collected in prior EDC)"
"AE","AERELPRO","5","PI-2620 PET (Tau PET Imaging)",""
"AE","AERELPRO","6","Other","Set as 6 when RELPRCDR = 1:Yes (for records collected in prior EDC)"
"AE","AERELPRO","7","Mobility Assessment (Gait)",""
"AE","AERELPRO","8","AV-133 PET (AV-133 Prodromal Imaging)",""
"AE","AERELPRO","9","SV2A PET (SV2A PET Imaging)",""
"AE","AESEVER","1","Mild",""
"AE","AESEVER","2","Moderate",""
"AE","AESEVER","3","Severe",""
"AE","PAG_NAME","AE","Adverse Event Log",""
"AE","PWDTAE","0","No",""
"AE","PWDTAE","1","Yes","Code Y:Yes is replaced by 1 (for records collected in prior EDC)"
"AE","SAE","0","No",""
"AE","SAE","1","Yes",""
"AECLINAST","AERPRT","0","No",""
"AECLINAST","AERPRT","1","Yes",""
"AECLINAST","ASTYN","0","No",""
"AECLINAST","ASTYN","1","Yes",""
"AECLINAST","CLNCONDCTVIS","0","No",""
"AECLINAST","CLNCONDCTVIS","1","Yes",""
"AECLINAST","CONDDOP","0","Unchecked",""
"AECLINAST","CONDDOP","1","Checked",""
"AECLINAST","CONDLP","0","Unchecked",""
